"Attribution: Attribution Number","Opportunity: Opportunity Name","Opportunity: Account Name","Partner Net ARR (converted) Currency","Partner Net ARR (converted)","Opportunity: Net ARR Atlas (Commission) Currency","Opportunity: Net ARR Atlas (Commission)","Opportunity: Net ARR Non-Atlas (Commission) (converted) Currency","Opportunity: Net ARR Non-Atlas (Commission) (converted)","Opportunity: zzDeprecate-Owner Area Group","Opportunity: zzDeprecate-Owner Regional Group","Split %","Role","Opportunity: Close Date","Opportunity: Fiscal Period","Opportunity: Stage","Partner","Status","Attribution: Created Date","Opportunity: Created Date"
"A-0524109","Sony Pictures Home Entertainment Inc. Sony Pictures Entertainment - Pilot Season App - Renewal... - Run Rate - FY27-Q1","Sony Pictures Home Entertainment Inc.","USD","93.71","USD","624.72","USD","0.00","NAMER","SoCal","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0520806","Vodafone Limited Beethoven Enterprise - Renewal - Run Rate - FY27-Q1","Vodafone Limited","USD","-307.04","GBP","-646.09","USD","0.00","EMEA","UK&I I","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0518562","TATA Consultancy Services Belgium N.V. / S.A. AMELIE for NMBS - Renewal - Run Rate - FY27-Q1","TATA Consultancy Services Belgium N.V. / S.A.","USD","-5957.70","EUR","-14393.67","USD","0.00","EMEA","Nordics & Benelux","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0522610","Marks and Spencer Group Plc Loyalty Platform Review, Marks and Spencer Group plc - Atlas MVP, ... - Run Rate - FY27-Q1","Marks and Spencer Group Plc","USD","80928.07","GBP","170290.46","USD","0.00","EMEA","UK&I I","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0517635","Nets Denmark A/S Nets UNI- Renewal Yr 1 - Run Rate - FY27-Q1","Nets Denmark A/S","USD","-2934.78","USD","-8385.09","USD","0.00","EMEA","EMEA","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0523136","AWS MP (Private Offer) - Sainsbury's Supermarkets Ltd Multiple Projects- Renewal Yr 4 - Run Rate - FY27-Q1","Sainsbury's Supermarkets Ltd","USD","35616.77","USD","237445.11","USD","0.00","EMEA","UK&I I","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0523139","National Westminster Bank plc ODS Delivery, Payments Transformation- Renewal Yr 4 - Run Rate - FY27-Q1","National Westminster Bank plc","USD","53972.72","GBP","113570.48","USD","0.00","EMEA","UK&I II","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0525191","National Mortgage Insurance Corporation National MI Underwriting Workbench - Renewal - Run Rate - FY27-Q1","National Mortgage Insurance Corporation","USD","231.68","USD","1544.50","USD","0.00","Americas","NAMER","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0522779","ASOS.com Limited Atlas Platform - Renewal - Run Rate - FY27-Q1","ASOS.com Limited","USD","-2887.27","USD","-19248.49","USD","0.00","EMEA","UK&I I","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0522781","ASOS.com Limited ASOS - Product Recommendations - Renewal - Run Rate - FY27-Q1","ASOS.com Limited","USD","-1238.40","USD","-8255.97","USD","0.00","EMEA","UK&I I","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","5/2/2025","5/2/2025"
"A-0523683","Tata Communications Limited VAZ - Renewal - Run Rate - FY27-Q1","Tata Communications Limited","USD","0.00","USD","-1519.13","USD","0.00","APAC","IND ENT Hybrid 1","0.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","5/2/2025","5/2/2025"
"A-0522871","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q1","Cummins Inc.","USD","0.00","USD","-653.19","USD","0.00","NAMER","Great Lakes","0.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","5/2/2025","5/2/2025"
"A-0522101","McKesson Corporation McKesson - SAP ATTP, Track & Trace - Renewal - Run Rate - FY27-Q1","McKesson Corporation","USD","0.00","USD","12233.15","USD","0.00","NAMER","South Central 1","0.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","5/2/2025","5/2/2025"
"A-0535101","Cisco Systems, Inc. Cisco - eCommerce - Config, Cisco - eCommerce - Quoting, Cisco - eCommerce - Ord - Renewal","Cisco Systems, Inc.","USD","-0.03","USD","0.00","USD","-0.17","NAMER","NorCal 1","15.00","Influencing","2/9/2026","Q1-2027","Closed Won","Tata Consultancy Services Limited","Approved","5/7/2025","5/7/2025"
"A-0535495","Sony Pictures Home Entertainment Inc. Sony Pictures Entertainment - Pilot Season App - Renewal","Sony Pictures Home Entertainment Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","15.00","Influencing","4/30/2026","Q1-2027","Technical Validation","Tata Consultancy Services Limited","Pending Approval","5/7/2025","5/7/2025"
"A-0535399","National Mortgage Insurance Corporation National MI Underwriting Workbench - Renewal","National Mortgage Insurance Corporation","USD","0.00","USD","0.00","USD","0.00","Americas","NAMER","15.00","Influencing","4/30/2026","Q1-2027","Negotiate","Tata Consultancy Services Limited","Approved","5/7/2025","5/7/2025"
"A-0536641","ASOS.com Limited ASOS - Product Recommendations - Renewal","ASOS.com Limited","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I I","15.00","Influencing","3/31/2026","Q1-2027","Technical Validation","Tata Consultancy Services Limited","Pending Approval","5/7/2025","5/7/2025"
"A-0553201","Tata Consultancy Services Limited TCS Digitate - Renewal - Run Rate - FY27-Q1","Tata Consultancy Services Limited","USD","1720.65","USD","11471.02","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","7/22/2025","7/22/2025"
"A-0563164","AWS MP (Private Offer) - Sainsbury's Supermarkets Ltd Multiple Projects- Renewal Yr 4 - Run Rate - FY27-Q2","Sainsbury's Supermarkets Ltd","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I I","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0563167","National Westminster Bank plc ODS Delivery, Payments Transformation- Renewal Yr 4 - Run Rate - FY27-Q2","National Westminster Bank plc","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I II","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0557667","Nets Denmark A/S Nets UNI- Renewal Yr 1 - Run Rate - FY27-Q2","Nets Denmark A/S","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0557537","Tata Steel Limited Aashiyana Platformization  Production on GCP, Aashiyana Platformization on ... - Run Rate - FY27-Q2","Tata Steel Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 2","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0558560","TATA Consultancy Services Belgium N.V. / S.A. AMELIE for NMBS - Renewal - Run Rate - FY27-Q2","TATA Consultancy Services Belgium N.V. / S.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","Nordics & Benelux","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0562613","Marks and Spencer Group Plc Loyalty Platform Review, Marks and Spencer Group plc - Atlas MVP, ... - Run Rate - FY27-Q2","Marks and Spencer Group Plc","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I I","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0562110","McKesson Corporation McKesson - SAP ATTP, Track & Trace - Renewal - Run Rate - FY27-Q2","McKesson Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0562786","ASOS.com Limited ASOS - Product Recommendations - Renewal - Run Rate - FY27-Q2","ASOS.com Limited","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I I","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0560823","Vodafone Limited Beethoven Enterprise - Renewal - Run Rate - FY27-Q2","Vodafone Limited","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I I","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0562877","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q2","Cummins Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Great Lakes","0.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","8/2/2025","8/2/2025"
"A-0563719","Tata Communications Limited VAZ - Renewal - Run Rate - FY27-Q2","Tata Communications Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","0.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","8/2/2025","8/2/2025"
"A-0564733","Tata Consultancy Services Limited TCS Digitate - Renewal - Run Rate - FY27-Q2","Tata Consultancy Services Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","8/2/2025","8/2/2025"
"A-0575570","Vodafone Limited Beethoven Enterprise - Renewal (Ent) 2026","Vodafone Limited","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I I","35.00","Strategic","6/30/2026","Q2-2027","Research","Tata Consultancy Services Limited","Pending Approval","8/5/2025","8/5/2025"
"A-0575789","Tata Consultancy Services Limited TCS_APP_Ashnik - Renewal","Tata Consultancy Services Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","7/31/2026","Q2-2027","Research","Tata Consultancy Services Limited","Pending Approval","8/5/2025","8/5/2025"
"A-0575846","ASOS.com Limited ASOS - Product Recommendations - Renewal","ASOS.com Limited","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I I","15.00","Influencing","6/30/2026","Q2-2027","Research","Tata Consultancy Services Limited","Pending Approval","8/5/2025","8/5/2025"
"A-0575795","Tata Consultancy Services Limited TCS_APP_Ashnik - Renewal","Tata Consultancy Services Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","7/31/2026","Q2-2027","Research","Tata Consultancy Services Limited","Pending Approval","8/5/2025","8/5/2025"
"A-0575899","TATA Consultancy Services Belgium N.V. / S.A. AMELIE for NMBS - Renewal","TATA Consultancy Services Belgium N.V. / S.A.","USD","0.00","EUR","0.00","USD","0.00","EMEA","Nordics & Benelux","35.00","Strategic","7/31/2026","Q2-2027","Research","Tata Consultancy Services Limited","Pending Approval","8/5/2025","8/5/2025"
"A-0591045","Legal & General Resources Limited - Flex Commit Renewal - Run Rate - FY27-Q1","Legal & General Resources Limited","USD","-32001.85","USD","-91433.85","USD","0.00","EMEA","UK&I II","35.00","Strategic","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/9/2025","10/9/2025"
"A-0591048","Legal & General Resources Limited - Flex Commit Renewal - Run Rate - FY27-Q2","Legal & General Resources Limited","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","35.00","Strategic","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/9/2025","10/9/2025"
"A-0591601","Infiniti Retail Limited_May2026_Renewal - Run Rate - FY27-Q1","Infiniti Retail Limited","USD","-1610.91","USD","-10739.39","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/10/2025","10/10/2025"
"A-0591603","Infiniti Retail Limited_May2026_Renewal - Run Rate - FY27-Q2","Infiniti Retail Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/10/2025","10/10/2025"
"A-0592716","McKesson Corporation McKesson - SAP ATTP, Track & Trace - Renewal - Run Rate - FY27-Q1","McKesson Corporation","USD","1834.97","USD","12233.15","USD","0.00","NAMER","South Central 1","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/10/2025","5/2/2025"
"A-0592717","McKesson Corporation McKesson - SAP ATTP, Track & Trace - Renewal - Run Rate - FY27-Q2","McKesson Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/10/2025","8/2/2025"
"A-0593431","Tata Communications Limited VAZ - Renewal - Run Rate - FY27-Q1","Tata Communications Limited","USD","-227.87","USD","-1519.13","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/10/2025","5/2/2025"
"A-0593432","Tata Communications Limited VAZ - Renewal - Run Rate - FY27-Q2","Tata Communications Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","10/10/2025","8/2/2025"
"A-0603242","Legal & General Resources Limited - Flex Commit Renewal - Run Rate - FY27-Q3","Legal & General Resources Limited","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0609232","Tata Communications Limited VAZ - Renewal - Run Rate - FY27-Q3","Tata Communications Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0608299","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q3","Cummins Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Great Lakes","0.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","11/2/2025","11/2/2025"
"A-0602791","Tata Steel Limited Aashiyana Platformization  Production on GCP, Aashiyana Platformization on ... - Run Rate - FY27-Q3","Tata Steel Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 2","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0607516","McKesson Corporation McKesson - SAP ATTP, Track & Trace - Renewal - Run Rate - FY27-Q3","McKesson Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0608622","AWS MP (Private Offer) - Sainsbury's Supermarkets Ltd Multiple Projects- Renewal Yr 4 - Run Rate - FY27-Q3","Sainsbury's Supermarkets Ltd","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I I","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0608627","National Westminster Bank plc ODS Delivery, Payments Transformation- Renewal Yr 4 - Run Rate - FY27-Q3","National Westminster Bank plc","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I II","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0610309","Tata Consultancy Services Limited TCS Digitate - Renewal - Run Rate - FY27-Q3","Tata Consultancy Services Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0602943","Nets Denmark A/S Nets UNI- Renewal Yr 1 - Run Rate - FY27-Q3","Nets Denmark A/S","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA","35.00","Strategic","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0609819","Infiniti Retail Limited_May2026_Renewal - Run Rate - FY27-Q3","Infiniti Retail Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","11/2/2025","11/2/2025"
"A-0620724","Infiniti Retail Limited Inventory Cache Application - Renewal","Infiniti Retail Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","8/31/2026","Q3-2027","Research","Tata Consultancy Services Limited","Pending Approval","11/3/2025","11/3/2025"
"A-0622581","Tata Consultancy Services Limited Tata Consultancy Services Limited KYC Video Platform - Renewal Yr4 - Renewal","Tata Consultancy Services Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","0.00","Reseller","12/31/2026","Q4-2027","Research","Tata Consultancy Services Limited","Approved","11/4/2025","11/4/2025"
"A-0623565","Mainframe offloading - Euroclear","Euroclear SA/NV","USD","0.00","USD","0.00","USD","0.00","EMEA","Nordics & Benelux","35.00","Strategic","4/24/2026","Q1-2027","Discovery","Tata Consultancy Services Limited","Approved","11/10/2025","11/10/2025"
"A-0623564","AMEX - App modernization","American Express","USD","0.00","USD","0.00","USD","0.00","NAMER","SoCal","35.00","Strategic","3/6/2026","Q1-2027","Closed Lost","Tata Consultancy Services Limited","Approved","11/10/2025","11/10/2025"
"A-0628832","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q1","Cummins Inc.","USD","-97.98","USD","-653.19","USD","0.00","NAMER","Great Lakes","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","12/3/2025","5/2/2025"
"A-0628833","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q2","Cummins Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Great Lakes","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","12/3/2025","8/2/2025"
"A-0628834","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q3","Cummins Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Great Lakes","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","12/3/2025","11/2/2025"
"A-0640769","People Center, Inc. Rippling Atlas Pro Non-Prod, Rippling Platinum Production - Renewal - Run Rate - FY27-Q1","People Center, Inc.","USD","0.00","USD","860952.74","USD","0.00","NAMER","NorCal 2","0.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","1/29/2026","5/2/2025"
"A-0640770","People Center, Inc. Rippling Atlas Pro Non-Prod, Rippling Platinum Production - Renewal - Run Rate - FY27-Q2","People Center, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","0.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","1/29/2026","8/2/2025"
"A-0640771","People Center, Inc. Rippling Atlas Pro Non-Prod, Rippling Platinum Production - Renewal - Run Rate - FY27-Q3","People Center, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","0.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","1/29/2026","11/2/2025"
"A-0647818","People Center, Inc. Rippling Atlas Pro Non-Prod, Rippling Platinum Production - Renewal - Run Rate - FY27-Q4","People Center, Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","0.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","2/2/2026","2/2/2026"
"A-0643221","Nets Denmark A/S Nets UNI- Renewal Yr 1 - Run Rate - FY27-Q4","Nets Denmark A/S","USD","0.00","USD","0.00","USD","0.00","EMEA","EMEA","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0650414","Tata Consultancy Services Limited TCS Digitate - Renewal - Run Rate - FY27-Q4","Tata Consultancy Services Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0647644","McKesson Corporation McKesson - SAP ATTP, Track & Trace - Renewal - Run Rate - FY27-Q4","McKesson Corporation","USD","0.00","USD","0.00","USD","0.00","NAMER","South Central 1","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0648418","Cummins, Inc. - Integrated Aftermarket Catalogue- Renewal Yr 3 - Run Rate - FY27-Q4","Cummins Inc.","USD","0.00","USD","0.00","USD","0.00","NAMER","Great Lakes","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0643506","Legal & General Resources Limited - Flex Commit Renewal - Run Rate - FY27-Q4","Legal & General Resources Limited","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I II","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0648713","AWS MP (Private Offer) - Sainsbury's Supermarkets Ltd Multiple Projects- Renewal Yr 4 - Run Rate - FY27-Q4","Sainsbury's Supermarkets Ltd","USD","0.00","USD","0.00","USD","0.00","EMEA","UK&I I","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0648722","National Westminster Bank plc ODS Delivery, Payments Transformation- Renewal Yr 4 - Run Rate - FY27-Q4","National Westminster Bank plc","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I II","35.00","Strategic","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0643074","Tata Steel Limited Aashiyana Platformization  Production on GCP, Aashiyana Platformization on ... - Run Rate - FY27-Q4","Tata Steel Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 2","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0649323","Tata Communications Limited VAZ - Renewal - Run Rate - FY27-Q4","Tata Communications Limited","USD","0.00","USD","0.00","USD","0.00","APAC","IND ENT Hybrid 1","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0651398","*Adobe - ATS - EA Org Wide Renewal - FY26 - Run Rate - FY27-Q1","Adobe, Inc. (f/k/a Adobe Systems Incorporated)","USD","372258.26","USD","2481721.75","USD","0.00","NAMER","NorCal 1","15.00","Influencing","4/30/2026","Q1-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","1/17/2026"
"A-0651399","*Adobe - ATS - EA Org Wide Renewal - FY26 - Run Rate - FY27-Q2","Adobe, Inc. (f/k/a Adobe Systems Incorporated)","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","15.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","1/17/2026"
"A-0651400","*Adobe - ATS - EA Org Wide Renewal - FY26 - Run Rate - FY27-Q3","Adobe, Inc. (f/k/a Adobe Systems Incorporated)","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","1/17/2026"
"A-0651401","*Adobe - ATS - EA Org Wide Renewal - FY26 - Run Rate - FY27-Q4","Adobe, Inc. (f/k/a Adobe Systems Incorporated)","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 1","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","2/2/2026","2/2/2026"
"A-0700985","Kaiser Foundation Hospitals Kaiser Permanente -  ABX - Renewal","Kaiser Foundation Hospitals","USD","0.00","USD","0.00","USD","0.00","NAMER","NorCal 2","35.00","Strategic","12/17/2026","Q4-2027","Research","Tata Consultancy Services Limited","Pending Approval","2/4/2026","2/4/2026"
"A-0701422","Bank of the Philippine Islands BPI_API - Renewal","Bank of the Philippine Islands","USD","0.00","USD","0.00","USD","0.00","APAC","ASEAN 1","35.00","Strategic","12/31/2026","Q4-2027","Research","Tata Consultancy Services Limited","Pending Approval","2/4/2026","2/4/2026"
"A-0701663","Marks and Spencer Group Plc Marks and Spencer Group Plc Loyalty Platform ReviewRenewal - Renewal","Marks and Spencer Group Plc","USD","0.00","GBP","0.00","USD","0.00","EMEA","UK&I I","35.00","Strategic","3/31/2026","Q1-2027","Business Case","Tata Consultancy Services Limited","Pending Approval","2/4/2026","2/4/2026"
"A-0702359","Jaguar Land Rover Automotive plc ioX - Renewal","Jaguar Land Rover Automotive plc","USD","-51.75","USD","0.00","USD","-344.97","EMEA","UK&I I","15.00","Influencing","1/26/2027","Q4-2027","Research","Tata Consultancy Services Limited","Pending Approval","2/4/2026","2/4/2026"
"A-0711025","National Mortgage Insurance Corporation National MI Underwriting Workbench - Renewal - Run Rate - FY27-Q2","National Mortgage Insurance Corporation","USD","0.00","USD","0.00","USD","0.00","Americas","NAMER","0.00","Influencing","7/31/2026","Q2-2027","Elastic Forecast","Tata Consultancy Services Limited","Rejected","3/3/2026","8/2/2025"
"A-0711026","National Mortgage Insurance Corporation National MI Underwriting Workbench - Renewal - Run Rate - FY27-Q3","National Mortgage Insurance Corporation","USD","0.00","USD","0.00","USD","0.00","Americas","NAMER","15.00","Influencing","10/31/2026","Q3-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","3/3/2026","11/2/2025"
"A-0711027","National Mortgage Insurance Corporation National MI Underwriting Workbench - Renewal - Run Rate - FY27-Q4","National Mortgage Insurance Corporation","USD","0.00","USD","0.00","USD","0.00","Americas","NAMER","15.00","Influencing","1/31/2027","Q4-2027","Elastic Forecast","Tata Consultancy Services Limited","Approved","3/3/2026","2/2/2026"
